id;name;description;start_date;end_date;status
1;very minister;during dulcimer;2024-12-21T01:27:13;2024-12-21T04:05:45;COMPLETED
2;valley;instead;2024-12-21T10:40:51;2024-12-20T20:58:15;CANCELLED
3;aha;willfully impressive;2024-12-20T21:16:59;2024-12-20T19:37:01;ON_HOLD
4;ahX;near;2024-12-21T04:45:51;2024-12-20T19:50:16;ACTIVE
5;order piglet;outside;2024-12-21T15:19:33;2024-12-20T23:08:03;CANCELLED
6;hence potable vengeful;woot honestly haul;2024-12-21T05:48:09;2024-12-21T07:43:25;ON_HOLD
7;including ring extra-large;knife afore;2024-12-21T06:41:02;2024-12-20T22:24:38;CANCELLED
8;duh times;wound;2024-12-21T14:59:22;2024-12-21T11:18:10;COMPLETED
9;um monthly or;so critical;2024-12-21T02:41:27;2024-12-21T02:23:17;CANCELLED
10;scornful;grade unaware oddly;2024-12-21T04:37:00;2024-12-20T16:58:50;ACTIVE
