id;title;description;status;priority;deadline;created_date
1;ick;squeaky pish;TODO;MEDIUM;2024-12-21T10:00:53;2024-12-21T14:50:02
2;knowingly vice beside;psst following;TODO;MEDIUM;2024-12-21T03:37:53;2024-12-20T23:02:12
3;maestro;ouch;TODO;MEDIUM;2024-12-21T10:02:04;2024-12-20T21:59:26
4;hm bah;forenenst yet;DONE;HIGH;2024-12-21T11:44:42;2024-12-21T14:54:55
5;out instead;blaspheme pile drat;IN_PROGRESS;LOW;2024-12-21T04:24:37;2024-12-20T23:07:21
6;haX;well-documented;DONE;MEDIUM;2024-12-20T22:18:10;2024-12-21T03:31:10
7;though;above;DONE;HIGH;2024-12-20T18:29:32;2024-12-21T12:16:25
8;or next;an;TODO;MEDIUM;2024-12-21T05:52:07;2024-12-21T13:21:23
9;colorize approach;aside as mundane;TODO;LOW;2024-12-21T06:05:31;2024-12-20T23:20:35
10;finally usually;notwithstanding;IN_PROGRESS;MEDIUM;2024-12-20T20:39:35;2024-12-20T21:49:35
